Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Boebert	Lauren		A	CO03	2024	4/8/2026	10075262
Hon.	Boebert	Lauren		O	CO03	2024	5/28/2025	10070343
	Bogner	Ken		C	MT02	2024	3/24/2024	10056927
	Bohan	Patrick		C	CO07	2024	4/26/2024	10057692
	Bohannan	Christina		C	IA01	2024	8/13/2024	10060736
	Bohannan	Christina		X	IA01	2024	5/14/2024	30021575
	Bohman	Rachel		C	MN01	2024	8/23/2024	10056910
	Bohman	Rachel		X	MN01	2024	3/20/2024	30019626
Hon.	Bonamici	Suzanne		O	OR01	2024	7/21/2025	10067137
Hon.	Bonamici	Suzanne		X	OR01	2024	5/1/2025	30022991
	Bondar	Paul		C	OK04	2024	6/14/2024	8220512
Mr.	Booras	John		C	IL03	2024	5/19/2024	10060905
Hon.	Bost	Michael		O	IL12	2024	8/13/2025	10068493
Hon.	Bost	Michael		X	IL12	2024	5/14/2025	30023609
Hon.	Bost	Michael		X	IL12	2024	6/17/2025	30024182
	Boudreaux	Michael		C	CA20	2024	4/5/2024	10056950
	Bousbar	Sabrina		C	FL13	2024	3/1/2024	10056834
Dr.	Bowman	Bruce A.		C	MO03	2024	5/2/2024	10059578
	Bowman	John		W	MO05	2024	4/19/2024	7934
Mr.	Bowman	Thomas William		D	MN02	2024	5/10/2024	40003639
	Boyd	Stephen		C	MN07	2024	5/15/2024	10061379
	Boyda	Nancy E.		C	KS02	2024	7/3/2024	10062369
Hon.	Boyle	Brendan F.		O	PA02	2024	7/25/2025	10071887
Hon.	Boyle	Brendan F.		X	PA02	2024	6/2/2025	8220977
	Boysko	Jennifer		C	VA10	2024	5/16/2024	10060346
Mr.	Braunston	Peter Alan		C	FL18	2024	5/14/2024	10060591
Hon.	Brecheen	Josh		O	OK02	2024	4/29/2025	10066899
	Breslin	Karen R.		W	CO04	2024	5/13/2024	7964
	Bresnahan	Rob		C	PA08	2024	8/13/2024	10057745
	Bresnahan	Rob		X	PA08	2024	4/30/2024	30020918
Hon.	Bresnahan	Rob		H	PA08	2024	8/13/2025	10066455
Hon.	Bresnahan	Rob		X	PA08	2024	4/21/2025	30022755
	Briody	Patrick James		C	AZ08	2024	5/11/2024	10059269
	Bristow	Nigel William		C	NC09	2024	6/15/2024	10062283
	Broderick	Victoria		C	TN04	2024	9/25/2024	10062971
Mr.	Bronke	James Victor		A	MI05	2024	9/6/2024	10062878
Mr.	Bronke	James Victor		C	MI05	2024	9/3/2024	10062877
	Brown	Leigh		X	NC08	2024	4/23/2024	30019829
Hon.	Brown	M Shontel		O	OH11	2024	5/16/2025	10068844
Hon.	Brown	M Shontel		X	OH11	2024	5/14/2025	30023816
	Brown	Michael A.		C	DC00	2024	9/15/2024	10061356
	Brown	Michael A.		X	DC00	2024	5/17/2024	30021876
Hon.	Brownley	Julia		O	CA26	2024	7/21/2025	10066853
Hon.	Brownley	Julia		X	CA26	2024	4/28/2025	30022882
	Bucco	Carmen		C	NJ10	2024	3/27/2024	10056934
Hon.	Buchanan	Vern		O	FL16	2024	5/15/2025	10068803
Hon.	Buck	Kenneth R.		T	CO04	2024	6/19/2024	10056983
Hon.	Buck	Kenneth R.		X	CO04	2024	4/8/2024	30019636
	Buckhout	Laurie		C	NC01	2024	5/14/2024	10059953
Hon.	Budzinski	Nikki		O	IL13	2024	5/14/2025	10066604
	Bunting	Justin		C	NC08	2024	1/2/2025	10063218
Hon.	Burchett	Tim		O	TN02	2024	8/12/2025	10067407
Hon.	Burchett	Tim		X	TN02	2024	5/5/2025	30023090
Hon.	Burgess	Michael C.		P	TX26	2024	1/8/2024	20024265
Hon.	Burgess	Michael C.		P	TX26	2024	1/22/2024	20024330
Hon.	Burgess	Michael C.		P	TX26	2024	2/5/2024	20024437
Hon.	Burgess	Michael C.		P	TX26	2024	3/7/2024	20024627
Hon.	Burgess	Michael C.		P	TX26	2024	3/22/2024	20024722
Hon.	Burgess	Michael C.		P	TX26	2024	4/10/2024	20024838
Hon.	Burgess	Michael C.		P	TX26	2024	5/2/2024	20024966
Hon.	Burgess	Michael C.		P	TX26	2024	7/31/2024	20025548
Hon.	Burgess	Michael C.		P	TX26	2024	8/12/2024	20025605
Hon.	Burgess	Michael C.		P	TX26	2024	9/24/2024	20025791
Hon.	Burgess	Michael C.		P	TX26	2024	10/1/2024	20025942
Hon.	Burlison	Eric		O	MO07	2024	8/11/2025	10072081
Hon.	Burlison	Eric		X	MO07	2024	5/15/2025	8220926
Hon.	Burlison	Eric		X	MO07	2024	6/2/2025	8221022
	Burnett	Debby		W	CO03	2024	5/20/2024	7978
	Busch	Emily		X	MI10	2024	5/17/2024	30022154
	Buskirk	Paul		C	KS01	2024	5/12/2024	10060629
	Butierez	Daniel		C	AZ07	2024	4/19/2024	10058788
	Bynum	Janelle		C	OR05	2024	8/13/2024	10060959
	Bynum	Janelle		X	OR05	2024	5/17/2024	30021662
Hon.	Bynum	Janelle		A	OR05	2024	11/5/2025	10072756
Hon.	Bynum	Janelle		A	OR05	2024	8/13/2026	10081594
Hon.	Bynum	Janelle		H	OR05	2024	8/13/2025	10072030
	Calvarese	Trisha		C	NV04	2024	5/15/2024	10061127
Hon.	Calvert	Ken		O	CA41	2024	5/14/2025	10068324
Hon.	Cammack	Kat		O	FL03	2024	8/9/2025	10072021
Hon.	Cammack	Kat		X	FL03	2024	6/2/2025	8221023
Ms.	Camp	Lori Ann		C	IN02	2024	4/6/2024	10056857
	Campbell	Bill		C	UT01	2024	4/1/2024	10056952
	Cantrell	George Allen		C	GA03	2024	3/30/2024	10056947
Hon.	Carbajal	Salud O.		O	CA24	2024	5/6/2025	10067103
Hon.	Carey	Mike		O	OH15	2024	8/13/2025	10072075
Hon.	Carey	Mike		X	OH15	2024	5/9/2025	8220885
	Carranza	Margarita Maria		C	CA29	2024	5/16/2025	10069212
	Carrier	Jamison		C	IN06	2024	4/7/2024	10056837
	Carris	Jim		C	IL10	2024	8/7/2024	10062641
	Carris	Jim		X	IL10	2024	5/15/2024	8220335
Hon.	Carson	André		O	IN07	2024	5/13/2025	10068233
Hon.	Carter	Earl Leroy		O	GA01	2024	5/14/2025	10066714
Hon.	Carter	Earl Leroy		P	GA01	2024	6/12/2024	20025257
Hon.	Carter	Earl Leroy		P	GA01	2024	6/28/2024	20025349
Hon.	Carter	Earl Leroy		P	GA01	2024	7/24/2024	20025499
Hon.	Carter	John R.		O	TX31	2024	5/9/2025	10067014
Hon.	Carter	Troy A.	Sr	O	LA02	2024	5/15/2025	8221133
Hon.	Casar	Greg		O	TX35	2024	5/9/2025	10067213
Hon.	Case	Ed		O	HI01	2024	5/5/2025	10066777
Dr.	Casey	Michael Arthur		W	MN04	2024	4/29/2024	7950
Hon.	Casten	Sean		O	IL06	2024	8/6/2025	10066137
Hon.	Casten	Sean		P	IL06	2024	1/16/2024	20023805
Hon.	Casten	Sean		P	IL06	2024	8/9/2024	20025384
Hon.	Casten	Sean		P	IL06	2024	8/27/2024	20025700
Hon.	Casten	Sean		X	IL06	2024	4/16/2025	30022687
	Castillo	Jose		X	FL09	2024	5/17/2024	30022169
	Castor	Kathy		O	FL14	2024	5/15/2025	10066133
Hon.	Castor	Kathy		P	FL14	2024	3/28/2024	20024754
Hon.	Castor	Kathy		P	FL14	2024	7/15/2024	20025475
	Castro	Dustin		W	CO04	2024	2/1/2024	7917
Hon.	Castro	Joaquin		O	TX20	2024	8/12/2025	9115587
Hon.	Castro	Joaquin		X	TX20	2024	6/2/2025	8221026
	Catala	Ryan Joshua		W	TX12	2024	4/19/2024	7933
Mr.	Celata	Anthony Patrick		C	MA01	2024	4/15/2026	10075679
Mrs.	Centonze	Lana		C	TX18	2024	5/5/2024	10059791
	Cerezo Swaffar	Darlene		C	FL23	2024	7/31/2024	10061625
	Cerezo Swaffar	Darlene		X	FL23	2024	5/17/2024	30022012
	Chalifoux	Thomas E.	Jr.	C	FL09	2024	7/11/2024	10060503
	Chalifoux	Thomas E.	Jr.	X	FL09	2024	5/14/2024	30021480
	Chappelle-Nadal	Maria Ms		C	MO01	2024	6/26/2024	8220531
	Chappelle-Nadal	Maria Ms		X	MO01	2024	5/17/2024	30022178
	Chappelle-Nadal	Maria Ms		X	MO01	2024	6/18/2024	30022313
	Chaudhry	Melissa		C	WA09	2024	7/3/2024	10061008
	Chaudhry	Melissa		X	WA09	2024	5/17/2024	30021680
	Chaudhry-Ahmad	Jamil O.		C	OR01	2024	4/14/2024	10057006
	Chen	Anita S.		C	CA17	2024	8/11/2024	10059962
	Chen	Anita S.		X	CA17	2024	5/14/2024	30021199
	Cheng	Austin Franklin		W	NY03	2024	4/24/2024	7946
Hon.	Cherfilus-McCormick	Sheila		O	FL20	2024	8/13/2025	9115612
Hon.	Cherfilus-McCormick	Sheila		X	FL20	2024	5/9/2025	30023247
	Cherny	Andrei		X	AZ01	2024	4/23/2024	30019824
	Ching	Eric J.		C	CA38	2024	3/17/2026	10074534
	Choharis	Peter Charles		C	MD06	2024	4/14/2024	10056997
	Chowdhury	Mohammed Mohiuddin		C	NY06	2024	5/15/2024	10061385
	Christian	Jerrad Shane		C	OH12	2024	4/18/2024	10057696
Hon.	Chu	Judy		O	CA28	2024	5/14/2025	10066343
Hon.	Chu	Judy		P	CA28	2024	1/21/2024	20024347
Dr.	Chu	Weiming David		W	CA47	2024	4/19/2024	7935
Hon.	Ciscomani	Juan		O	AZ06	2024	5/15/2025	10067485
	Cisneros	Gilbert		C	CA31	2024	7/31/2024	10057757
	Cisneros	Gilbert		X	CA31	2024	4/23/2024	30019836
Hon.	Cisneros	Gilbert		H	CA31	2024	8/13/2025	10066139
	Clahchischilliage	Sharon E.		C	NM03	2024	6/1/2024	10061837
	Clahchischilliage	Sharon E.		X	NM03	2024	5/17/2024	30022173
	Clancy	Mike		C	VA10	2024	5/16/2024	10061854
Hon.	Clark	Katherine M.		O	MA05	2024	5/15/2025	10066244
Hon.	Clark	Katherine M.		P	MA05	2024	2/12/2024	20024435
Hon.	Clark	Katherine M.		P	MA05	2024	3/5/2024	20024588
Hon.	Clark	Katherine M.		P	MA05	2024	4/4/2024	20024795
Hon.	Clarke	Yvette D.		O	NY09	2024	8/13/2025	10069178
Hon.	Clarke	Yvette D.		X	NY09	2024	5/15/2025	30023992
	Clatterbuck	Thomas		W	IL13	2024	5/2/2024	7953
Hon.	Cleaver	Emanuel		O	MO05	2024	8/12/2025	10067367
Hon.	Cleaver	Emanuel		X	MO05	2024	5/5/2025	30023078
	Cleveland	Scott		C	ID02	2024	2/6/2024	10056732
Hon.	Cline	Benjamin Lee		O	VA06	2024	8/13/2025	10068858
Hon.	Cline	Benjamin Lee		X	VA06	2024	5/14/2025	30023803
Hon.	Cloud	Michael		O	TX27	2024	5/13/2025	10067265
Hon.	Clyburn	James E.		O	SC06	2024	5/15/2025	10066672
Hon.	Clyde	Andrew		O	GA09	2024	8/13/2025	10068925
Hon.	Clyde	Andrew		X	GA09	2024	5/14/2025	30023836
Mr.	Coester	C. Mark		C	VT00	2024	5/10/2024	10060476
	Cohen	Seth Alan		C	IL09	2024	6/21/2024	10062332
Hon.	Cohen	Steve		O	TN09	2024	5/14/2025	10067445
Hon.	Cohen	Steve		P	TN09	2024	1/4/2024	20024188
Hon.	Cohen	Steve		P	TN09	2024	2/28/2024	20024540
	Cohn	Joseph		C	NJ03	2024	3/28/2024	10056902
	Cohn	Joseph		X	NJ03	2024	2/21/2024	30019609
Hon.	Cole	Tom		O	OK04	2024	7/16/2025	10067724
Hon.	Cole	Tom		X	OK04	2024	5/14/2025	30023806
Hon.	Coleman	Bonnie Watson		O	NJ12	2024	5/6/2025	8221125
Mrs.	Coleman	Octavia		D	GA13	2024	2/5/2024	40003599
	Collier	Matt		C	MI08	2024	7/5/2024	10062399
	Collier	Matt		X	MI08	2024	5/15/2024	8220339
Hon.	Collins	Michael A.		P	GA10	2024	1/9/2024	20024275
Hon.	Collins	Michael A.		P	GA10	2024	6/14/2024	20025282
Hon.	Collins	Michael A.		P	GA10	2024	7/11/2024	20025446
Hon.	Collins	Michael A.		P	GA10	2024	8/25/2024	20025729
Hon.	Collins	Michael A.		P	GA10	2024	11/7/2024	20026127
Hon.	Collins	Michael A.		P	GA10	2024	12/2/2024	20026303
Hon.	Collins	Michael A.	Jr	O	GA10	2024	6/15/2025	10070507
Hon.	Comer	James		O	KY01	2024	8/12/2025	10067637
Hon.	Comer	James		X	KY01	2024	5/7/2025	30023192
	Compton	William Dakota		C	KY02	2024	4/18/2024	10057759
Dr.	Conaway	Herb		C	NJ03	2024	5/15/2024	10061839
Hon.	Conaway	Herb		A	NJ03	2024	8/13/2025	10071974
Hon.	Conaway	Herb		H	NJ03	2024	8/13/2025	10071959
Hon.	Conaway	Herb		X	NJ03	2024	6/2/2025	8221031
	Conforti	Niki		C	IL06	2024	5/13/2024	10060691
Hon.	Connolly	Gerald E.		O	VA11	2024	5/13/2025	10067247
Hon.	Connolly	Gerald E.		P	VA11	2024	3/22/2024	20024728
Hon.	Connolly	Gerald E.		P	VA11	2024	7/5/2024	20025404
Hon.	Connolly	Gerald E.		P	VA11	2024	10/11/2024	20026009
	Conroy	Carmela		C	WA05	2024	10/24/2024	10063055
Mrs.	Conyears-Ervin	Melissa		C	IL07	2024	1/13/2026	10073191
	Cook	Vaughn R.		C	UT04	2024	5/14/2024	10061335
	Cooke	Rebecca		A	WI03	2024	3/27/2025	10064601
	Cooke	Rebecca		C	WI03	2024	8/12/2024	10062721
	Cooper	David Charles		W	GA09	2024	4/30/2024	7952
	Cooper	Earl L.		C	DE00	2024	9/17/2025	10062523
	Cooper	Kelly		C	AZ04	2024	5/15/2024	10060928
	Cooper	Kelly		X	AZ04	2024	5/17/2024	30021651
	Cooper	Terri Kay		C	WA05	2024	5/11/2024	10060596
	Coplen	Rick		W	PA10	2024	5/14/2024	7967
Hon.	Correa	Lou		O	CA46	2024	5/15/2025	10066488
	Corsetti	Todd Alan		D	ID02	2024	3/21/2024	40003616
	Corvi	Steven J.		A	RI02	2024	4/25/2024	10059152
	Corvi	Steven J.		C	RI02	2024	4/25/2024	10056993
Hon.	Costa	James M.		X	CA21	2024	5/8/2025	30023226
Hon.	Costa	Jim M.		O	CA21	2024	8/12/2025	10067734
	Cotter Smasal	Missy		C	VA02	2024	5/12/2024	10060625
	Coughlin	Kevin		C	OH13	2024	8/12/2024	10060610
	Coughlin	Kevin		X	OH13	2024	5/14/2024	30021516
Hon.	Courtney	Joe		O	CT02	2024	5/14/2025	10067873
	Cox	Amy		C	OH10	2024	5/12/2024	10060627
	Crabb	Vincent Darrell		C	TX25	2024	2/5/2024	10056719
Hon.	Craig	Angela Dawn		O	MN02	2024	5/14/2025	8221134
	Craighill-Middleton	Anduin Elim		X	NC06	2024	5/17/2024	30022121
	Crandall	Terry Lawrence		C	CA47	2024	2/8/2024	10056748
	Crane	Elenore Casey		X	NH02	2024	6/26/2024	30022334
